,Unnamed: 0,customer_id,total_order,s_order,r_order,c_order,credit_payment,emi_payment,cod_payment,price_range_one,price_range_two,price_range_three,last_three_month_order,last_six_month_order,last_one_year_order,order_score,payment_score,product_score,total_score,loan_amount,interest
0,0,C1,12,5,3,4,0,1,4,5,0,0,1,3,3,0,18,20,38,1500,14
1,1,C2,9,8,0,1,5,2,1,0,5,3,1,3,8,16.66666667,17.5,47.5,81.66666667,4000,8
2,2,C3,17,7,1,9,2,5,0,7,0,0,2,6,6,1.764705882,12.85714286,20,34.62184874,1500,14
3,3,C4,27,3,4,20,3,0,0,2,1,0,1,3,3,-8.148148148,20,26.66666667,38.51851852,1500,14
4,4,C5,29,20,8,1,10,9,1,17,1,2,10,11,20,7.931034483,15.5,25,48.43103448,2000,12
5,5,C6,41,19,10,12,12,3,4,15,0,4,1,18,19,1.463414634,18.42105263,28.42105263,48.3055199,2000,12
6,6,C7,36,32,0,4,4,25,3,13,18,1,3,8,26,16.66666667,12.1875,32.5,61.35416667,3000,8
7,7,C8,4,3,0,1,3,0,0,3,0,0,3,3,3,12.5,20,20,52.5,2500,10
8,8,C9,20,8,8,4,0,3,5,3,5,0,5,6,8,-2,16.25,32.5,46.75,2000,14
9,9,C10,38,37,0,1,11,6,20,10,12,15,25,33,35,19.21052632,18.37837838,42.7027027,80.2916074,4000,8
10,10,C11,49,25,14,10,6,16,3,16,3,6,20,23,24,2.448979592,13.6,32,48.04897959,2000,12
11,11,C12,43,6,34,3,6,0,0,1,3,2,5,5,5,-13.72093023,20,43.33333333,49.6124031,2000,12
12,12,C13,24,2,11,11,0,1,1,1,0,1,0,0,1,-12.08333333,15,40,42.91666667,2000,14
13,13,C14,3,1,0,2,1,0,0,0,0,1,0,1,1,0,20,60,80,4000,8
14,14,C15,28,3,20,5,3,0,0,1,1,1,3,3,3,-13.92857143,20,40,46.07142857,2000,14
15,15,C16,25,2,10,13,2,0,0,1,1,0,2,2,2,-11.6,20,30,38.4,1500,14
16,16,C17,33,19,11,3,1,7,11,6,13,0,12,17,18,3.939393939,16.31578947,33.68421053,53.93939394,2500,10
17,17,C18,8,1,2,5,0,1,0,0,1,0,1,1,1,-8.75,10,40,41.25,2000,14
18,18,C19,40,26,4,10,10,14,2,24,1,1,23,24,24,8.5,14.61538462,22.30769231,45.42307692,2000,14
19,19,C20,29,12,6,11,0,7,5,9,1,2,1,1,11,0.344827586,14.16666667,28.33333333,42.84482759,2000,14
20,20,C21,28,26,0,2,6,16,4,6,4,16,3,18,25,17.85714286,13.84615385,47.69230769,79.3956044,3500,8
21,21,C22,30,22,5,3,9,7,6,6,13,3,9,18,19,10.33333333,16.81818182,37.27272727,64.42424242,3000,8
22,22,C23,44,30,9,5,21,9,0,24,3,3,27,28,29,8.409090909,17,26,51.40909091,2500,12
23,23,C24,45,7,9,29,0,5,2,5,0,2,1,4,7,-7.333333333,12.85714286,31.42857143,36.95238095,1500,14
24,24,C25,43,22,10,11,17,2,3,7,2,13,3,11,11,3.023255814,19.09090909,45.45454545,67.56871036,3000,8
25,25,C26,8,4,0,4,1,3,0,4,0,0,4,4,4,5,12.5,20,37.5,1500,14
26,26,C27,27,12,5,10,10,1,1,6,6,0,5,6,10,1.481481481,19.16666667,30,50.64814815,2500,12
27,27,C28,16,15,0,1,7,0,8,14,0,1,10,10,15,18.125,20,22.66666667,60.79166667,3000,8
28,28,C29,2,0,0,2,0,0,0,0,0,0,0,0,0,-10,0,22.66666667,12.66666667,500,14
29,29,C30,5,2,1,2,1,1,0,0,0,2,2,2,2,0,15,60,75,3500,8
30,30,C31,39,10,14,15,8,0,2,1,9,0,4,8,9,-5.897435897,20,38,52.1025641,2500,12
31,31,C32,3,0,1,2,0,0,0,0,0,0,0,0,0,-13.33333333,0,38,24.66666667,1000,14
32,32,C33,21,6,5,10,1,4,1,3,1,2,3,3,6,-3.80952381,13.33333333,36.66666667,46.19047619,2000,14
33,33,C34,32,30,1,1,1,7,22,4,26,0,22,28,30,17.8125,17.66666667,37.33333333,72.8125,3500,8
34,34,C35,34,13,4,17,2,2,9,1,8,4,10,13,13,0.294117647,18.46153846,44.61538462,63.37104072,3000,8
35,35,C36,6,2,2,2,0,2,0,1,1,0,0,0,0,-3.333333333,10,30,36.66666667,1500,14
36,36,C37,49,24,6,19,23,1,0,4,6,14,9,10,14,3.469387755,19.58333333,48.33333333,71.38605442,3500,8
37,37,C38,27,17,0,10,10,2,5,5,4,8,8,14,17,8.888888889,18.82352941,43.52941176,71.24183007,3500,8
38,38,C39,25,8,9,8,3,1,4,5,3,0,2,2,6,-4,18.75,27.5,42.25,2000,14
39,39,C40,4,0,3,1,0,0,0,0,0,0,0,0,0,-17.5,0,27.5,10,500,14
